cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
19740,"Denver, Aurora, Lakewood",CO,207,117,7,66,17
31080,"Los Angeles, Long Beach, Anaheim",CA,136,79,45,1,11
16980,"Chicago, Naperville, Elgin","IL, IN, WI",87,67,11,6,3
35620,"New York, Newark, Jersey City","NY, NJ, PA",87,72,6,2,7
47900,"Washington, Arlington, Alexandria","DC, VA, MD, WV",57,27,27,0,3
41860,"San Francisco, Oakland, Hayward",CA,56,29,21,0,6
17820,Colorado Springs,CO,44,30,2,10,2
14460,"Boston, Cambridge, Newton","MA, NH",43,23,15,0,5
26420,"Houston, The Woodlands, Sugar Land",TX,38,16,17,0,5
19100,"Dallas, Fort Worth, Arlington",TX,35,13,17,0,5
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,28,14,14,0,0
12580,"Baltimore, Columbia, Towson",MD,25,7,16,1,1
42660,"Seattle, Tacoma, Bellevue",WA,25,7,9,3,6
41740,"San Diego, Carlsbad",CA,24,12,7,0,5
41940,"San Jose, Sunnyvale, Santa Clara",CA,23,14,6,1,2
22660,Fort Collins,CO,20,16,1,0,3
12420,"Austin, Round Rock",TX,20,14,5,0,1
41180,St. Louis,"MO, IL",20,7,8,2,3
24540,Greeley,CO,20,15,0,4,1
14500,Boulder,CO,19,17,1,0,1
41700,"San Antonio, New Braunfels",TX,19,8,7,0,4
14860,"Bridgeport, Stamford, Norwalk",CT,19,16,2,0,1
12060,"Atlanta, Sandy Springs, Roswell",GA,19,11,7,0,1
33460,"Minneapolis, St. Paul, Bloomington","MN, WI",16,6,8,0,2
37100,"Oxnard, Thousand Oaks, Ventura",CA,15,9,3,1,2
38900,"Portland, Vancouver, Hillsboro","OR, WA",14,8,4,1,1
38060,"Phoenix, Mesa, Scottsdale",AZ,13,7,3,0,3
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",13,8,5,0,0
29820,"Las Vegas, Henderson, Paradise",NV,12,8,3,0,1
39380,Pueblo,CO,11,7,0,4,0
38860,"Portland, South Portland",ME,11,6,4,0,1
24060,Glenwood Springs,CO,11,6,1,0,4
17460,"Cleveland, Elyria",OH,11,7,4,0,0
34980,"Nashville-Davidson, Murfreesboro, Franklin",TN,10,0,8,0,2
18140,Columbus,OH,10,6,3,0,1
10740,Albuquerque,NM,9,5,3,0,1
40900,"Sacramento, Roseville, Arden-Arcade",CA,8,7,1,0,0
28140,Kansas City,"MO, KS",8,6,2,0,0
17140,Cincinnati,"OH, KY, IN",7,3,4,0,0
46520,Urban Honolulu,HI,6,0,3,0,3
46060,Tucson,AZ,6,3,2,0,1
38300,Pittsburgh,PA,6,4,2,0,0
40140,"Riverside, San Bernardino, Ontario",CA,5,4,0,0,1
42220,Santa Rosa,CA,5,3,1,0,1
15540,"Burlington, South Burlington",VT,5,4,0,0,1
42100,"Santa Cruz, Watsonville",CA,5,4,1,0,0
35300,"New Haven, Milford",CT,5,3,2,0,0
25540,"Hartford, West Hartford, East Hartford",CT,5,5,0,0,0
49340,Worcester,"MA, CT",5,2,3,0,0
