cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
16740,"Charlotte, Concord, Gastonia","NC, SC",31,18,1,7,5
47900,"Washington, Arlington, Alexandria","DC, VA, MD, WV",28,19,5,0,4
35620,"New York, Newark, Jersey City","NY, NJ, PA",26,17,2,2,5
39580,Raleigh,NC,22,17,2,1,2
24660,"Greensboro, High Point",NC,18,12,0,4,2
12060,"Atlanta, Sandy Springs, Roswell",GA,15,9,2,0,4
49180,Winston-Salem,NC,14,10,0,2,2
20500,"Durham, Chapel Hill",NC,13,10,0,1,2
31300,Lumberton,NC,13,11,0,1,1
25860,"Hickory, Lenoir, Morganton",NC,12,9,0,2,1
12580,"Baltimore, Columbia, Towson",MD,10,7,1,1,1
40060,Richmond,VA,8,3,5,0,0
27260,Jacksonville,FL,7,5,0,0,2
11700,Asheville,NC,7,2,0,4,1
40580,Rocky Mount,NC,7,5,0,2,0
35100,New Bern,NC,7,4,0,2,1
48900,Wilmington,NC,7,3,0,2,2
24140,Goldsboro,NC,7,5,0,2,0
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",7,4,1,0,2
17140,Cincinnati,"OH, KY, IN",7,3,3,0,1
47260,"Virginia Beach, Norfolk, Newport News","VA, NC",6,3,1,0,2
16980,"Chicago, Naperville, Elgin","IL, IN, WI",4,4,0,0,0
24780,Greenville,NC,4,1,0,1,2
22180,Fayetteville,NC,4,2,0,1,1
20380,Dunn,NC,4,4,0,0,0
48980,Wilson,NC,4,3,0,1,0
47820,Washington,NC,4,2,0,2,0
34820,"Myrtle Beach, Conway, North Myrtle Beach","SC, NC",4,3,0,1,0
34340,Mount Airy,NC,3,0,0,3,0
15500,Burlington,NC,3,1,0,1,1
37080,Oxford,NC,3,2,0,0,1
41820,Sanford,NC,3,0,0,1,2
38240,"Pinehurst, Southern Pines",NC,3,2,0,1,0
28620,Kill Devil Hills,NC,3,3,0,0,0
40260,Roanoke Rapids,NC,3,1,0,1,1
27340,Jacksonville,NC,3,2,0,1,0
14460,"Boston, Cambridge, Newton","MA, NH",2,0,0,0,2
35900,North Wilkesboro,NC,2,1,0,1,0
14820,Brevard,NC,2,2,0,0,0
32000,Marion,NC,2,1,0,1,0
25780,Henderson,NC,2,0,0,2,0
28820,Kinston,NC,2,1,0,0,1
21020,Elizabeth City,NC,2,0,0,1,1
33980,Morehead City,NC,2,0,0,1,1
45300,"Tampa, St. Petersburg, Clearwater",FL,1,0,0,0,1
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,1,0,0,0,1
38300,Pittsburgh,PA,1,0,0,0,1
19000,Cullowhee,NC,1,0,0,1,0
14380,Boone,NC,1,1,0,0,0
43140,Shelby,NC,1,0,0,1,0
29900,Laurinburg,NC,1,1,0,0,0
10620,Albemarle,NC,1,0,0,0,1
15680,"California, Lexington Park",MD,1,0,0,0,1
22580,Forest City,NC,1,0,0,1,0
34980,"Nashville-Davidson, Murfreesboro, Franklin",TN,1,0,0,0,1
45220,Tallahassee,FL,1,0,0,0,1
