cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
12060,"Atlanta, Sandy Springs, Roswell",GA,167,116,33,0,18
31080,"Los Angeles, Long Beach, Anaheim",CA,110,64,39,0,7
19100,"Dallas, Fort Worth, Arlington",TX,70,26,38,0,6
47900,"Washington, Arlington, Alexandria","DC, VA, MD, WV",46,19,21,0,6
35620,"New York, Newark, Jersey City","NY, NJ, PA",26,21,4,0,1
12420,"Austin, Round Rock",TX,23,18,4,0,1
26420,"Houston, The Woodlands, Sugar Land",TX,21,10,8,0,3
12020,"Athens, Clarke County",GA,17,11,3,0,3
16740,"Charlotte, Concord, Gastonia","NC, SC",16,6,8,0,2
12260,"Augusta, Richmond County","GA, SC",16,9,6,0,1
42340,Savannah,GA,15,7,6,0,2
16860,Chattanooga,"TN, GA",15,7,7,0,1
16980,"Chicago, Naperville, Elgin","IL, IN, WI",14,11,1,0,2
27260,Jacksonville,FL,12,6,4,0,2
34980,"Nashville-Davidson, Murfreesboro, Franklin",TN,12,2,8,0,2
45300,"Tampa, St. Petersburg, Clearwater",FL,11,4,5,0,2
39580,Raleigh,NC,11,5,5,0,1
41740,"San Diego, Carlsbad",CA,11,5,2,0,4
35380,"New Orleans, Metairie",LA,11,3,7,0,1
16700,"Charleston, North Charleston",SC,10,5,3,0,2
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,8,4,2,0,2
28940,Knoxville,TN,8,4,4,0,0
24860,"Greenville, Anderson, Mauldin",SC,7,3,2,0,2
41700,"San Antonio, New Braunfels",TX,7,4,2,0,1
32820,Memphis,"TN, MS, AR",7,1,4,0,2
47260,"Virginia Beach, Norfolk, Newport News","VA, NC",7,1,5,0,1
12940,Baton Rouge,LA,7,1,5,0,1
36740,"Orlando, Kissimmee, Sanford",FL,7,4,3,0,0
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",7,4,3,0,0
10500,Albany,GA,6,3,3,0,0
46660,Valdosta,GA,6,4,2,0,0
37100,"Oxnard, Thousand Oaks, Ventura",CA,6,4,2,0,0
31140,Louisville/Jefferson County,"KY, IN",6,1,4,0,1
11700,Asheville,NC,6,2,3,0,1
13820,"Birmingham, Hoover",AL,6,3,2,0,1
24660,"Greensboro, High Point",NC,6,3,2,0,1
17140,Cincinnati,"OH, KY, IN",6,3,2,0,1
40060,Richmond,VA,5,1,3,0,1
17900,Columbia,SC,5,2,3,0,0
27600,Jefferson,GA,5,5,0,0,0
12580,"Baltimore, Columbia, Towson",MD,5,4,1,0,0
36420,Oklahoma City,OK,5,2,3,0,0
17980,Columbus,"GA, AL",4,3,1,0,0
41860,"San Francisco, Oakland, Hayward",CA,4,2,0,0,2
31420,Macon,GA,4,2,1,0,1
45700,Tifton,GA,4,3,1,0,0
23580,Gainesville,GA,4,3,0,1,0
15260,Brunswick,GA,4,3,1,0,0
19140,Dalton,GA,4,3,1,0,0
47580,Warner Robins,GA,4,3,1,0,0
20500,"Durham, Chapel Hill",NC,4,1,1,0,2
18140,Columbus,OH,4,3,1,0,0
40140,"Riverside, San Bernardino, Ontario",CA,3,3,0,0,0
49180,Winston-Salem,NC,3,1,1,0,1
45620,Thomasville,GA,3,2,1,0,0
12460,Bainbridge,GA,3,1,2,0,0
34940,"Naples, Immokalee, Marco Island",FL,3,1,2,0,0
46140,Tulsa,OK,3,1,2,0,0
38300,Pittsburgh,PA,3,3,0,0,0
41940,"San Jose, Sunnyvale, Santa Clara",CA,2,2,0,0,0
14460,"Boston, Cambridge, Newton","MA, NH",2,1,0,0,1
47080,Vidalia,GA,2,1,1,0,0
26620,Huntsville,AL,2,2,0,0,0
18380,Cordele,GA,2,2,0,0,0
11140,Americus,GA,2,1,1,0,0
34220,Moultrie,GA,2,2,0,0,0
35840,"North Port, Sarasota, Bradenton",FL,2,1,1,0,0
17460,"Cleveland, Elyria",OH,2,2,0,0,0
10420,Akron,OH,2,2,0,0,0
19740,"Denver, Aurora, Lakewood",CO,2,1,1,0,0
10900,"Allentown, Bethlehem, Easton","PA, NJ",1,0,1,0,0
47300,"Visalia, Porterville",CA,1,0,0,0,1
40660,Rome,GA,1,0,1,0,0
48180,Waycross,GA,1,1,0,0,0
44340,Statesboro,GA,1,1,0,0,0
33300,Milledgeville,GA,1,0,1,0,0
28660,"Killeen, Temple",TX,1,1,0,0,0
39740,Reading,PA,1,0,1,0,0
30460,"Lexington, Fayette",KY,1,1,0,0,0
25420,"Harrisburg, Carlisle",PA,1,1,0,0,0
38240,"Pinehurst, Southern Pines",NC,1,0,1,0,0
38060,"Phoenix, Mesa, Scottsdale",AZ,1,0,0,0,1
14260,Boise City,ID,1,1,0,0,0
