cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
16740,"Charlotte, Concord, Gastonia","NC, SC",115,73,17,1,24
35620,"New York, Newark, Jersey City","NY, NJ, PA",98,66,17,1,14
16980,"Chicago, Naperville, Elgin","IL, IN, WI",91,75,10,3,3
47900,"Washington, Arlington, Alexandria","DC, VA, MD, WV",77,48,14,0,15
12060,"Atlanta, Sandy Springs, Roswell",GA,70,36,23,1,10
19100,"Dallas, Fort Worth, Arlington",TX,70,38,24,0,8
17900,Columbia,SC,66,58,6,0,2
12580,"Baltimore, Columbia, Towson",MD,49,16,22,5,6
31080,"Los Angeles, Long Beach, Anaheim",CA,45,26,15,0,4
16700,"Charleston, North Charleston",SC,42,31,6,0,5
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,42,25,12,0,5
24860,"Greenville, Anderson, Mauldin",SC,38,24,4,0,10
14460,"Boston, Cambridge, Newton","MA, NH",36,16,13,0,7
17140,Cincinnati,"OH, KY, IN",31,19,9,0,3
19740,"Denver, Aurora, Lakewood",CO,29,23,2,0,4
26420,"Houston, The Woodlands, Sugar Land",TX,29,17,8,0,4
18140,Columbus,OH,26,18,5,0,3
39580,Raleigh,NC,24,11,6,0,7
45300,"Tampa, St. Petersburg, Clearwater",FL,22,8,9,0,5
27260,Jacksonville,FL,22,12,7,0,3
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",21,14,3,0,4
40060,Richmond,VA,20,9,7,0,4
34980,"Nashville-Davidson, Murfreesboro, Franklin",TN,20,8,8,0,4
41180,St. Louis,"MO, IL",19,5,11,1,2
47260,"Virginia Beach, Norfolk, Newport News","VA, NC",16,8,6,0,2
12260,"Augusta, Richmond County","GA, SC",16,13,1,0,2
22500,Florence,SC,16,11,2,1,2
36740,"Orlando, Kissimmee, Sanford",FL,14,8,6,0,0
12420,"Austin, Round Rock",TX,14,9,4,0,1
14500,Boulder,CO,13,10,1,0,2
16860,Chattanooga,"TN, GA",11,6,3,0,2
41700,"San Antonio, New Braunfels",TX,11,5,3,0,3
14860,"Bridgeport, Stamford, Norwalk",CT,10,7,0,0,3
30460,"Lexington, Fayette",KY,10,2,4,0,4
17460,"Cleveland, Elyria",OH,10,1,3,0,6
17820,Colorado Springs,CO,10,10,0,0,0
26900,"Indianapolis, Carmel, Anderson",IN,10,7,1,0,2
44940,Sumter,SC,9,7,1,0,1
19380,Dayton,OH,8,4,2,0,2
43900,Spartanburg,SC,8,6,1,0,1
41860,"San Francisco, Oakland, Hayward",CA,8,6,0,0,2
25540,"Hartford, West Hartford, East Hartford",CT,7,1,3,0,3
38300,Pittsburgh,PA,7,3,1,0,3
36700,Orangeburg,SC,7,4,2,0,1
35840,"North Port, Sarasota, Bradenton",FL,7,4,2,0,1
34820,"Myrtle Beach, Conway, North Myrtle Beach","SC, NC",7,6,0,0,1
35300,"New Haven, Milford",CT,6,1,4,0,1
24940,Greenwood,SC,6,4,0,0,2
48900,Wilmington,NC,6,2,1,0,3
36980,Owensboro,KY,5,3,1,0,1
24660,"Greensboro, High Point",NC,5,0,2,0,3
41740,"San Diego, Carlsbad",CA,4,2,1,0,1
29460,"Lakeland, Winter Haven",FL,4,2,1,0,1
16820,Charlottesville,VA,4,2,1,0,1
19820,"Detroit, Warren, Dearborn",MI,3,2,0,0,1
39300,"Providence, Warwick","RI, MA",3,0,1,0,2
32820,Memphis,"TN, MS, AR",3,0,2,0,1
27180,Jackson,TN,3,1,2,0,0
20500,"Durham, Chapel Hill",NC,3,0,0,0,3
33340,"Milwaukee, Waukesha, West Allis",WI,3,1,1,0,1
25940,"Hilton Head Island, Bluffton, Beaufort",SC,3,2,0,0,1
18180,Concord,NH,2,0,1,0,1
10420,Akron,OH,2,0,0,0,2
15940,"Canton, Massillon",OH,2,0,0,0,2
45780,Toledo,OH,2,0,0,1,1
22660,Fort Collins,CO,2,2,0,0,0
24540,Greeley,CO,2,2,0,0,0
34940,"Naples, Immokalee, Marco Island",FL,2,1,1,0,0
15980,"Cape Coral, Fort Myers",FL,2,0,1,0,1
37340,"Palm Bay, Melbourne, Titusville",FL,2,0,2,0,0
29060,Laconia,NH,2,0,2,0,0
25860,"Hickory, Lenoir, Morganton",NC,2,2,0,0,0
23500,Gaffney,SC,2,2,0,0,0
40220,Roanoke,VA,2,1,0,0,1
33460,"Minneapolis, St. Paul, Bloomington","MN, WI",2,0,0,0,2
