cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
35620,"New York, Newark, Jersey City","NY, NJ, PA",237,178,36,3,20
14460,"Boston, Cambridge, Newton","MA, NH",207,139,45,12,11
31080,"Los Angeles, Long Beach, Anaheim",CA,72,39,30,1,2
49340,Worcester,"MA, CT",60,43,10,4,3
25540,"Hartford, West Hartford, East Hartford",CT,54,37,17,0,0
44140,Springfield,MA,46,29,4,10,3
47900,"Washington, Arlington, Alexandria","DC, VA, MD, WV",38,23,14,0,1
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,36,18,16,0,2
39300,"Providence, Warwick","RI, MA",31,19,9,1,2
14860,"Bridgeport, Stamford, Norwalk",CT,27,22,3,0,2
41860,"San Francisco, Oakland, Hayward",CA,23,14,9,0,0
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",23,14,7,1,1
12060,"Atlanta, Sandy Springs, Roswell",GA,21,12,8,0,1
12580,"Baltimore, Columbia, Towson",MD,20,4,15,1,0
35300,"New Haven, Milford",CT,19,11,7,0,1
41740,"San Diego, Carlsbad",CA,15,11,4,0,0
45860,Torrington,CT,13,6,7,0,0
24640,Greenfield Town,MA,12,6,1,5,0
41940,"San Jose, Sunnyvale, Santa Clara",CA,11,10,1,0,0
45300,"Tampa, St. Petersburg, Clearwater",FL,11,7,3,0,1
16980,"Chicago, Naperville, Elgin","IL, IN, WI",11,10,1,0,0
10580,"Albany, Schenectady, Troy",NY,10,7,1,2,0
38860,"Portland, South Portland",ME,10,7,2,0,1
38340,Pittsfield,MA,10,8,0,2,0
12700,Barnstable Town,MA,9,6,1,2,0
36740,"Orlando, Kissimmee, Sanford",FL,9,6,3,0,0
16740,"Charlotte, Concord, Gastonia","NC, SC",7,5,2,0,0
31700,"Manchester, Nashua",NH,7,5,2,0,0
35980,"Norwich, New London",CT,7,6,1,0,0
12420,"Austin, Round Rock",TX,6,5,1,0,0
40140,"Riverside, San Bernardino, Ontario",CA,6,3,2,0,1
33460,"Minneapolis, St. Paul, Bloomington","MN, WI",6,2,3,0,1
41700,"San Antonio, New Braunfels",TX,5,4,1,0,0
19100,"Dallas, Fort Worth, Arlington",TX,5,2,3,0,0
18180,Concord,NH,4,2,1,0,1
27260,Jacksonville,FL,4,2,2,0,0
20500,"Durham, Chapel Hill",NC,3,2,1,0,0
37100,"Oxnard, Thousand Oaks, Ventura",CA,3,2,1,0,0
35840,"North Port, Sarasota, Bradenton",FL,3,1,2,0,0
29060,Laconia,NH,2,0,2,0,0
35380,"New Orleans, Metairie",LA,2,1,1,0,0
28740,Kingston,NY,2,2,0,0,0
12300,"Augusta, Waterville",ME,2,0,2,0,0
28300,Keene,NH,2,2,0,0,0
13540,Bennington,VT,2,1,1,0,0
45940,Trenton,NJ,2,2,0,0,0
42220,Santa Rosa,CA,2,1,1,0,0
49180,Winston-Salem,NC,1,0,1,0,0
24660,"Greensboro, High Point",NC,1,0,1,0,0
39580,Raleigh,NC,1,1,0,0,0
15540,"Burlington, South Burlington",VT,1,0,0,0,1
31420,Macon,GA,1,0,1,0,0
12620,Bangor,ME,1,0,0,0,1
40860,Rutland,VT,1,1,0,0,0
17200,"Claremont, Lebanon","NH, VT",1,1,0,0,0
26460,Hudson,NY,1,0,0,1,0
10140,Aberdeen,WA,1,1,0,0,0
42660,"Seattle, Tacoma, Bellevue",WA,1,0,0,0,1
24020,Glens Falls,NY,1,0,0,1,0
